Here are the final point totals for players chosen in the USENET Hockey Draft.
Note that only 114 players scored more than 55 points the minimum cost
although 254 different players were chosen.
Andrew
Points Team Player
160 PIT Mario Lemieux
148 BUF Pat LaFontaine
142 BOS Adam Oates
137 DET Steve Yzerman
132 WPG Teemu Selanne
132 NYI Pierre Turgeon
127 BUF Alexander Mogilny
127 TOR Doug Gilmour
125 LA Luc Robitaille
123 PHI Mark Recchi
114 QUE Mats Sundin
111 PIT Kevin Stevens
110 VAN Pavel Bure
109 PIT Rick Tocchet
107 CHI Jeremy Roenick
106 STL Craig Janney
105 QUE Joe Sakic
102 BOS Joe Juneau
101 STL Brett Hull
100 CGY Theoren Fleury
100 PIT Ron Francis
99 TOR Dave Andreychuk
97 MTL Vincent Damphousse
97 DET Dino Ciccarelli
97 WPG Phil Housley
96 BUF Dale Hawerchuk
94 STL Brendan Shanahan
94 MTL Kirk Muller
94 PIT Jaromir Jagr
93 MIN Mike Modano
91 NYR Mark Messier
89 HFD Geoff Sanderson
88 MTL Brian Bellows
88 CGY Robert Reichel
87 LA Jari Kurri
87 NYI Steve Thomas
87 DET Sergei Fedorov
87 DET Paul Coffey
86 TB Brian Bradley
86 PHI Rod Brind'Amour
85 WSH Peter Bondra
85 PIT Larry Murphy
85 HFD Andrew Cassels
85 VAN Cliff Ronning
82 WSH Mike Ridley
82 LA Tony Granato
82 QUE Steve Duchesne
82 HFD Pat Verbeek
82 BOS Ray Bourque
81 CGY Gary Suter
81 NJ Claude Lemieux
80 MTL Stephan Lebeau
79 NJ Alexander Semak
79 WSH Kevin Hatcher
79 MIN Russ Courtnall
79 WSH Dale Hunter
78 QUE Mike Ricci
78 SJ Kelly Kisio
78 STL Jeff Brown
77 QUE Owen Nolan
77 VAN Murray Craven
77 VAN Geoff Courtnall
76 NYR Tony Amonte
76 NYI Derek King
76 MIN Dave Gagner
75 PHI Eric Lindros
75 CGY Joe Nieuwendyk
75 NYI Benoit Hogue
74 TOR Nikolai Borschevsky
74 WSH Michal Pivonka
74 MIN Ulf Dahlen
73 LA Jimmy Carson
73 NJ Stephane Richer
73 CHI Chris Chelios
