Here is the price list for the week April 13 to April 19.
Andrew
Buy Sell Pts Team Player
158.9 143.0 157 PIT Mario Lemieux
148.5 133.7 145 BUF Pat LaFontaine
142.7 128.4 141 BOS Adam Oates
137.6 123.8 136 DET Steve Yzerman
132.1 118.9 129 WPG Teemu Selanne
131.7 118.5 127 NYI Pierre Turgeon
130.1 117.1 127 TOR Doug Gilmour
126.0 113.4 123 BUF Alexander Mogilny
123.4 111.1 119 PHI Mark Recchi
121.9 109.7 119 LA Luc Robitaille
113.3 102.0 112 QUE Mats Sundin
111.3 100.2 110 PIT Kevin Stevens
110.6 99.5 108 VAN Pavel Bure
108.6 97.7 106 STL Craig Janney
108.3 97.5 107 PIT Rick Tocchet
107.6 96.8 105 CHI Jeremy Roenick
105.3 94.8 104 QUE Joe Sakic
103.5 93.2 101 STL Brett Hull
102.4 92.2 100 CGY Theoren Fleury
101.2 91.1 100 PIT Ron Francis
100.4 90.4 98 TOR Dave Andreychuk
100.2 90.2 99 BOS Joe Juneau
98.3 88.5 96 WPG Phil Housley
98.3 88.5 96 MTL Vincent Damphousse
96.3 86.7 94 MTL Kirk Muller
96.1 86.5 95 DET Dino Ciccarelli
95.3 85.8 93 BUF Dale Hawerchuk
95.3 85.8 93 MIN Mike Modano
94.4 85.0 91 NYR Mark Messier
93.2 83.9 91 STL Brendan Shanahan
93.1 83.8 92 PIT Jaromir Jagr
88.1 79.3 86 MTL Brian Bellows
88.1 79.3 86 LA Jari Kurri
88.0 79.2 87 DET Sergei Fedorov
87.1 78.4 85 CGY Robert Reichel
87.0 78.3 86 DET Paul Coffey
86.1 77.5 83 WSH Peter Bondra
86.1 77.5 83 HFD Geoff Sanderson
86.0 77.4 84 TB Brian Bradley
85.0 76.5 82 NYI Steve Thomas
84.0 75.6 83 PIT Larry Murphy
84.0 75.6 81 PHI Rod Brind'Amour
83.0 74.7 82 BOS Ray Bourque
83.0 74.7 82 QUE Steve Duchesne
83.0 74.7 80 HFD Andrew Cassels
82.0 73.8 80 LA Tony Granato
81.9 73.7 79 WSH Dale Hunter
81.9 73.7 79 WSH Mike Ridley
80.9 72.8 78 HFD Pat Verbeek
80.9 72.8 79 MTL Stephan Lebeau
80.9 72.8 79 CGY Gary Suter
78.9 71.0 77 VAN Cliff Ronning
78.9 71.0 77 NJ Claude Lemieux
78.9 71.0 78 QUE Mike Ricci
77.9 70.1 76 VAN Murray Craven
77.9 70.1 76 STL Jeff Brown
77.8 70.0 75 WSH Kevin Hatcher
77.8 70.0 75 NYR Tony Amonte
76.9 69.2 76 SJ Kelly Kisio
76.8 69.1 75 NJ Alexander Semak
76.8 69.1 75 MIN Russ Courtnall
75.8 68.2 74 MIN Dave Gagner
75.8 68.2 74 TOR Nikolai Borschevsky
75.7 68.1 73 PHI Eric Lindros
74.8 67.3 73 LA Jimmy Carson
73.8 66.4 72 CGY Joe Nieuwendyk
73.8 66.4 72 VAN Geoff Courtnall
73.8 66.4 72 MIN Ulf Dahlen
73.6 66.2 71 NYI Derek King
73.6 66.2 71 WSH Michal Pivonka
72.9 65.6 72 QUE Owen Nolan
72.9 65.6 72 BOS Dmitri Kvartalnov
72.7 65.4 71 STL Nelson Emerson
72.7 65.4 71 CHI Chris Chelios
72.6 65.3 70 NYI Benoit Hogue
71.7 64.5 70 NJ Stephane Richer
71.7 64.5 70 WPG Thomas Steen
71.7 64.5 70 WPG Alexei Zhamnov
71.7 64.5 70 CHI Steve Larmer
69.8 62.8 69 PIT Joe Mullen
69.5 62.6 67 NYR Mike Gartner
68.6 61.7 67 VAN Petr Nedved
68.6 61.7 67 VAN Trevor Linden
68.6 61.7 67 LA Mike Donnelly
68.4 61.6 66 WSH Dmitri Khristich
68.4 61.6 66 WSH Al Iafrate
66.8 60.1 66 DET Ray Sheppard
66.8 60.1 66 QUE Andrei Kovalenko
66.4 59.8 64 HFD Zarley Zalapski
66.4 59.8 64 NYR Adam Graves
65.8 59.2 65 SJ Johan Garpenlov
64.5 58.1 63 TOR Glenn Anderson
63.5 57.2 62 LA Wayne Gretzky
63.5 57.2 62 OTT Norm Maciver
62.2 56.0 60 PHI Garry Galley
61.7 55.5 61 DET Steve Chiasson
61.7 55.5 61 DET Paul Ysebaert
61.5 55.4 60 NJ Valeri Zelepukin
61.5 55.4 60 MTL Mike Keane
61.2 55.1 59 PHI Brent Fedyk
60.7 54.6 60 PIT Shawn McEachern
60.4 54.4 59 LA Rob Blake
60.1 54.1 58 NYI Pat Flatley
59.7 53.7 59 QUE Scott Young
59.4 53.5 58 WPG Darrin Shannon
59.1 53.2 57 PHI Kevin Dineen
58.4 52.6 57 NJ Bernie Nicholls
58.4 52.6 57 CGY Sergei Makarov
58.4 52.6 57 CHI Steve Smith
58.1 52.3 56 WSH Pat Elynuik
57.4 51.7 56 VAN Greg Adams
57.4 51.7 56 NJ Scott Stevens
57.4 51.7 56 TB John Tucker
56.3 50.7 55 WPG Fredrik Olausson
56.0 50.4 54 NYR Sergei Nemchinov
55.0 49.5 53 NYR Darren Turcotte
55.0 48.9 53 CGY Al MacInnis
55.0 48.9 53 CHI Christian Ruuttu
55.0 48.0 52 CHI Brent Sutter
55.0 47.6 51 HFD Terry Yake
55.0 47.0 51 VAN Dixon Ward
55.0 47.0 51 WPG Keith Tkachuk
55.0 46.4 51 BOS Stephen Leach
55.0 46.1 50 TOR John Cullen
55.0 46.1 50 MTL Denis Savard
55.0 45.7 49 NYR Ed Olczyk
55.0 45.2 49 VAN Anatoli Semenov
55.0 44.8 48 WSH Sylvain Cote
55.0 44.8 48 NYI Vladimir Malakhov
55.0 44.8 48 NYI Jeff Norton
55.0 44.8 48 HFD Patrick Poulin
55.0 44.6 49 BOS Dave Poulin
55.0 44.3 48 LA Tomas Sandstrom
55.0 44.3 48 EDM Petr Klima
55.0 44.3 48 NJ John MacLean
55.0 44.3 48 EDM Doug Weight
55.0 43.3 47 MTL Gilbert Dionne
55.0 43.3 47 LA Alexei Zhitnik
55.0 43.3 47 EDM Shayne Corson
55.0 42.8 47 QUE Martin Rucinsky
55.0 42.4 46 WPG Evgeny Davydov
55.0 42.4 46 STL Kevin Miller
55.0 42.4 46 EDM Craig Simpson
55.0 42.0 45 WSH Kelly Miller
55.0 42.0 45 PHI Pelle Eklund
55.0 40.6 44 CHI Michel Goulet
55.0 40.6 44 EDM Dave Manson
55.0 39.6 43 OTT Sylvain Turgeon
55.0 38.7 42 CGY Paul Ranheim
55.0 38.7 42 MTL Mathieu Schneider
55.0 38.7 42 MIN Mark Tinordi
55.0 38.3 42 DET Bob Probert
55.0 37.8 41 EDM Todd Elik
55.0 37.4 40 NYR Esa Tikkanen
55.0 37.4 41 BOS Vladimir Ruzicka
55.0 36.9 40 OTT Bob Kudelski
55.0 36.9 40 NJ Peter Stastny
55.0 36.9 40 TOR Dave Ellett
55.0 36.9 40 OTT Brad Shaw
55.0 36.5 40 DET Niklas Lidstrom
55.0 36.0 39 NJ Bobby Holik
55.0 36.0 39 TOR Wendel Clark
55.0 35.5 38 NYR Alexei Kovalev
55.0 35.0 38 BUF Yuri Khmylev
55.0 35.0 38 MIN Mike McPhee
55.0 34.1 37 TOR Rob Pearson
55.0 34.1 37 VAN Sergio Momesso
55.0 33.6 36 NYR Brian Leetch
55.0 33.2 36 CHI Dirk Graham
55.0 33.2 36 TB Adam Creighton
55.0 32.8 36 QUE Valery Kamensky
55.0 32.3 35 EDM Zdeno Ciger
55.0 32.3 35 LA Corey Millen
55.0 31.9 35 BOS Ted Donato
55.0 31.3 34 TOR Peter Zezel
55.0 30.4 33 MIN Neal Broten
55.0 29.5 32 MTL Gary Leeman
55.0 29.5 32 EDM Scott Mellanby
55.0 29.5 32 BUF Wayne Presley
55.0 29.2 32 DET Keith Primeau
55.0 28.9 31 NYI Brian Mullen
55.0 28.9 31 PHI Josef Beranek
55.0 28.6 31 CHI Stephane Matteau
55.0 28.3 31 BOS Steve Heinze
55.0 28.0 30 PHI Dmitri Yushkevich
55.0 28.0 30 HFD Mikael Nylander
55.0 27.6 30 BUF Richard Smehlik
55.0 27.6 30 TOR Dmitri Mironov
55.0 25.8 28 CHI Brian Noonan
55.0 25.5 28 SJ Pat Falloon
55.0 24.9 27 STL Igor Korolev
55.0 24.3 26 WSH Bob Carpenter
55.0 24.3 26 NYR James Patrick
55.0 23.9 26 BUF Petr Svoboda
55.0 23.0 25 OTT Mark Lamb
55.0 22.4 24 NYI Scott LaChance
55.0 22.1 24 MTL Benoit Brunet
55.0 22.1 24 TB Mikael Andersson
55.0 21.2 23 EDM Martin Gelinas
55.0 21.2 23 WPG Sergei Bautin
